route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCE27,OCESN,"","Nantes - Saint-Gilles-Croix-de-Vie - Pornic",,2,,,
OCE140660,OCESN,"","ligne routière La Bastide Langogne Mende",,3,,,
OCE637330,OCESN,"","Wissembourg - Strasbourg",,2,,,
OCE140661,OCESN,"","ligne routière Mende Le Puy",,3,,,
OCE1650163,OCESN,"","Pessac-Macau",,2,,,
OCE626,OCESN,"","Avignon-Port Bou",,2,,,
OCE140656,OCESN,"","ligne routière Mende Clermont Ferrand",,3,,,
OCE140659,OCESN,"","ligne routière Mende Marvejols St chély",,3,,,
OCE358,OCESN,"","Remiremont-Epinal-Nancy-Metz",,2,,,
OCE140662,OCESN,"","ligne routière Carcassonne Quillan",,3,,,
OCE1814121,OCESN,"","CAR Bar Le Duc - Revigny",,3,,,
OCE600,OCESN,"","Sarrebrucken - Strasbourg Krimmeri",,2,,,
OCE646,OCESN,"","Perpignan-Villefranche",,3,,,
OCE1113942,OCESN,"","Dole / Pontarlier - Besançon / Dole / St Claude",,2,,,
OCE50,OCESN,"","Lyon - Genève",,2,,,
OCE873865,OCENI,"","CAR-ARRAS-ST POL-ETAPLE-CALAIS",,3,,,
OCEFR=Line==7EF9EA42-DEB3-4717-ABDF-2E1B8BC66BFA=,OCESN,"","EVIAN - COPPET",,2,,,
OCE12627,OCESN,"","Villefranche - Lyon - Vienne",,2,,,
OCE1045887,OCESN,"","Neustadt - Wissembourg",,2,,,
OCE199,OCESN,"","St-Etienne - Lyon - Ambérieu",,2,,,
OCE323,OCESN,"","Luxembourg-Metz-Nancy",,2,,,
OCE144650,OCESN,"","ligne routière Béziers Bédarieux",,3,,,
OCE1105893,OCESN,"","[AM06] PARIS - CREPY - SOISSONS - LAON",,2,,,
OCE4627,OCESN,"","Toulouse / Narbonne / Nimes / Cerbère",,2,,,
OCE1650154,OCESN,"","Bordeaux-Mont de Marsan",,2,,,
OCE643,OCESN,"","Carcassonne-Quillan",,2,,,
OCE1674115,OCESN,"","Bordeaux-Libourne-Coutras",,2,,,
OCE1650160,OCESN,"","Bordeaux-Langon",,2,,,
OCE647,OCESN,"","Villefranche-La Tour de Carol",,2,,,
OCE140657,OCESN,"","ligne routière St Chély Millau",,3,,,
OCE651,OCESN,"","Nîmes-Mende-St Chély d'Apcher",,2,,,
OCE384849,OCESN,"","Clermont Fd / Vic / Issoire / Brioude (ligne 1)",,2,,,
OCE644,OCESN,"","Nîmes-Le Grau du Roi",,2,,,
OCE617095,OCESN,"","Strasbourg - Rothau - Saales -St Dié",,2,,,
OCE4,OCESN,"","Redon - Quimper",,2,,,
OCE645562,OCESN,"","Nîmes Clermont Multi Activité",,2,,,
OCE701660,OCESN,"","CHARLEVILLE - THIONVILLE",,2,,,
OCE1377992,OCESN,"","Toulouse / Perpignan / Cerbère",,2,,,
OCE413,OCESN,"",""TOURS-ST PIERRE ""NAVETTES TGV"""",,7,,,
OCE873868,OCESN,"","CAR-LILLE-VALENCIENNES-AULNOYE-HIRSON",,3,,,
OCE200732,OCESN,"","Mulhouse - Colmar Omnibus",,2,,,
OCE384863,OCESN,"","Neussargues / Aurillac / Brive (ligne 10)",,2,,,
